city,product_type,status,request_time,begin_trip_time,begintrip_lat,begintrip_lng,begintrip_address,dropoff_time,dropoff_lat,dropoff_lng,dropoff_address,distance,fare_currency,fare_amount
Nairobi,Uber X,completed,2025-09-07T08:30:33.000Z,2025-09-07T08:48:04.000Z,-1.2917554,36.787827,"Argwings Kodhek Rd, Nairobi, Kenya",2025-09-07T09:17:03.000Z,-1.2201416,36.881897,"QVHJ+J34, USIU Rd, Nairobi, Kenya",10.33,Kenyan Shilling,758.0
Nairobi,uberCHAPCHAP,completed,2025-09-06T11:26:45.000Z,2025-09-06T11:54:28.000Z,-1.2204283,36.881435,"Mirema Road, Nairobi, Kenya",2025-09-06T12:36:34.000Z,-1.2863767,36.809074,"45198-00100 GPO, State House Avenue, Nairobi, Kenya",9.59,Kenyan Shilling,721.0
Nairobi,uberCHAPCHAP,completed,2025-09-05T10:35:07.000Z,2025-09-05T10:38:05.000Z,-1.2202985,36.88065,"Mirema Road, Nairobi, Kenya",2025-09-05T10:58:44.000Z,-1.2328479,36.877914,"Thika Rd, Nairobi, Kenya",2.07,Kenyan Shilling,255.0
Nairobi,uberCHAPCHAP,rider_canceled,2025-09-05T10:34:10.000Z,,-1.2204232,36.881428,"",,-1.2204232,36.881428,"Thika Rd, Nairobi, Kenya",0.0,Kenyan Shilling,0.0
Nairobi,uberCHAPCHAP,completed,2025-08-31T18:27:00.000Z,2025-08-31T18:31:04.000Z,-1.2616183,36.80127,"Sarit Centre, Karuna Rd, Nairobi, Kenya",2025-08-31T18:56:39.000Z,-1.2233733,36.877094,"Esantos apartments, Nairobi, Kenya",8.12,Kenyan Shilling,497.0
Nairobi,uberCHAPCHAP,completed,2025-08-24T23:49:42.000Z,2025-08-25T00:03:56.000Z,-1.2911566,36.78895,"Argwings Kodhek Rd, Nairobi, Kenya",2025-08-25T00:28:11.000Z,-1.2204083,36.88141,"QVHJ+J34, USIU Rd, Nairobi, Kenya",10.46,Kenyan Shilling,640.0
Nairobi,uberXL,completed,2025-08-24T09:33:11.000Z,2025-08-24T09:39:45.000Z,-1.2330517,36.87382,"Mountain Mall, 3rd Floor Thika Rd, Nairobi, Kenya",2025-08-24T09:44:06.000Z,-1.2344528,36.875,"Nairobi, Kenya",0.3,Kenyan Shilling,300.0
Nairobi,uberXL,completed,2025-08-24T05:34:02.000Z,2025-08-24T05:45:06.000Z,-1.2205431,36.881504,"Mirema Road, Nairobi, Kenya",2025-08-24T06:10:06.000Z,-1.2915334,36.787918,"Argwings Kodhek Rd, Nairobi, Kenya",11.07,Kenyan Shilling,1350.0
Nairobi,uberCHAPCHAP,completed,2025-08-23T10:49:20.000Z,2025-08-23T10:51:03.000Z,-1.2203434,36.881443,"Mirema Road, Nairobi, Kenya",2025-08-23T11:32:25.000Z,-1.2939132,36.793827,"Near Yaya Center, Argwings Kodhek Rd, Nairobi, Kenya",11.01,Kenyan Shilling,680.0
Nairobi,Pool,rider_canceled,2025-08-23T10:35:42.000Z,,-1.220421,36.88143,"",,-1.220421,36.88143,"Near Yaya Center, Argwings Kodhek Rd, Nairobi, Kenya",0.0,Kenyan Shilling,0.0
